#  step      rmse_val    rmse_trn    rmse_e_val  rmse_e_trn    rmse_f_val  rmse_f_trn         lr
      0      1.01e+02    2.01e+02      2.45e-01    1.68e-01      1.01e+00    2.01e+00    1.0e-03
   1000      8.07e+01    3.45e+01      1.19e+00    1.07e+00      8.07e-01    3.45e-01    1.0e-03
   2000      7.46e+01    5.39e+01      2.64e-01    2.34e-01      7.46e-01    5.39e-01    1.0e-03
   3000      1.73e+01    4.05e+01      2.05e-01    4.10e-02      1.73e-01    4.05e-01    1.0e-03
   4000      2.27e+01    6.05e+01      1.37e-01    9.46e-02      2.27e-01    6.05e-01    1.0e-03
   5000      3.23e+01    3.91e+01      1.24e-01    1.25e-02      3.23e-01    3.91e-01    8.4e-04
   6000      1.63e+01    2.44e+01      7.86e-03    8.26e-02      1.63e-01    2.44e-01    8.4e-04
   7000      1.81e+01    2.61e+01      2.32e-02    1.21e+00      1.81e-01    2.61e-01    8.4e-04
   8000      2.42e+01    1.23e+01      1.13e-02    2.11e-01      2.42e-01    1.23e-01    8.4e-04
   9000      3.04e+01    2.51e+01      6.16e-03    4.40e-02      3.04e-01    2.51e-01    8.4e-04
  10000      4.49e+01    2.94e+01      1.45e-01    6.03e-02      4.49e-01    2.94e-01    7.1e-04
  11000      2.47e+01    2.57e+01      1.88e-01    9.61e-02      2.47e-01    2.57e-01    7.1e-04
  12000      2.20e+01    2.21e+01      6.49e-02    4.41e-02      2.20e-01    2.21e-01    7.1e-04
  13000      3.60e+01    2.74e+01      1.33e-02    1.34e-01      3.60e-01    2.74e-01    7.1e-04
  14000      2.90e+01    1.85e+01      1.38e-01    7.34e-02      2.90e-01    1.85e-01    7.1e-04
  15000      7.57e+00    2.71e+01      4.05e-01    1.53e-01      7.56e-02    2.71e-01    6.0e-04
  16000      2.29e+01    1.45e+01      3.25e-02    3.06e-02      2.29e-01    1.45e-01    6.0e-04
  17000      2.24e+01    3.03e+01      1.56e-01    1.44e-01      2.24e-01    3.03e-01    6.0e-04
  18000      3.88e+01    3.16e+01      3.57e-02    1.43e-01      3.88e-01    3.16e-01    6.0e-04
  19000      1.08e+01    2.34e+01      2.71e-02    3.39e-02      1.08e-01    2.34e-01    6.0e-04
  20000      1.85e+01    2.99e+01      3.73e-02    5.05e-02      1.85e-01    2.99e-01    5.0e-04
  21000      4.02e+01    1.98e+01      9.29e-02    5.08e-02      4.02e-01    1.98e-01    5.0e-04
  22000      2.72e+01    1.76e+01      2.11e-02    8.86e-02      2.72e-01    1.76e-01    5.0e-04
  23000      2.12e+01    2.36e+01      4.80e-02    1.06e-01      2.12e-01    2.36e-01    5.0e-04
  24000      2.51e+01    3.38e+01      1.54e-01    4.69e-01      2.51e-01    3.38e-01    5.0e-04
  25000      2.45e+01    4.36e+01      5.30e-02    4.86e-02      2.45e-01    4.36e-01    4.3e-04
  26000      9.63e+00    1.88e+01      4.22e-02    7.49e-02      9.63e-02    1.88e-01    4.3e-04
  27000      2.38e+01    2.70e+01      4.04e-02    1.42e-02      2.38e-01    2.70e-01    4.3e-04
  28000      1.90e+01    2.24e+01      9.98e-02    4.64e-02      1.90e-01    2.24e-01    4.3e-04
  29000      1.60e+01    2.25e+01      8.89e-03    1.82e-02      1.60e-01    2.25e-01    4.3e-04
  30000      2.75e+01    1.58e+01      4.34e-02    4.43e-02      2.75e-01    1.58e-01    3.6e-04
  31000      4.04e+01    2.06e+01      4.67e-02    4.20e-02      4.04e-01    2.06e-01    3.6e-04
  32000      1.81e+01    2.22e+01      2.94e-02    1.05e-01      1.81e-01    2.22e-01    3.6e-04
  33000      2.63e+01    3.05e+01      3.95e-02    2.59e-02      2.63e-01    3.05e-01    3.6e-04
  34000      3.71e+01    2.43e+01      3.37e-01    1.26e-01      3.71e-01    2.43e-01    3.6e-04
  35000      4.14e+00    7.06e+00      4.08e-01    1.42e-02      4.12e-02    7.06e-02    3.0e-04
  36000      1.81e+01    2.44e+01      7.32e-02    3.16e-02      1.81e-01    2.44e-01    3.0e-04
  37000      2.36e+01    1.39e+01      1.69e-02    1.22e-01      2.36e-01    1.39e-01    3.0e-04
  38000      1.55e+01    1.06e+01      4.79e-02    1.43e-01      1.55e-01    1.06e-01    3.0e-04
  39000      3.66e+01    2.82e+01      9.10e-02    2.14e-02      3.66e-01    2.82e-01    3.0e-04
  40000      9.99e+00    1.55e+01      4.91e-02    5.58e-02      9.99e-02    1.55e-01    2.5e-04
  41000      1.84e+01    9.19e+00      8.86e-02    8.15e-02      1.84e-01    9.19e-02    2.5e-04
  42000      7.78e+00    2.02e+01      5.91e-02    3.00e-02      7.78e-02    2.02e-01    2.5e-04
  43000      1.55e+01    3.32e+00      8.31e-02    4.37e-01      1.55e-01    3.30e-02    2.5e-04
  44000      1.46e+01    2.50e+01      4.99e-02    3.10e-02      1.46e-01    2.50e-01    2.5e-04
  45000      5.14e+00    1.28e+01      5.56e-02    3.04e-02      5.14e-02    1.28e-01    2.1e-04
  46000      2.72e+01    1.23e+01      2.91e-02    4.10e-02      2.72e-01    1.23e-01    2.1e-04
  47000      9.22e+00    4.43e+01      3.30e-02    1.22e-01      9.22e-02    4.43e-01    2.1e-04
  48000      7.97e+00    2.05e+01      6.03e-02    7.34e-02      7.97e-02    2.05e-01    2.1e-04
  49000      6.04e+00    2.40e+01      1.95e-02    9.44e-02      6.04e-02    2.40e-01    2.1e-04
  50000      2.54e+01    2.06e+01      2.42e-02    9.36e-03      2.54e-01    2.06e-01    1.8e-04
  51000      2.27e+01    1.34e+01      1.15e-02    1.84e-01      2.27e-01    1.34e-01    1.8e-04
  52000      2.35e+01    1.99e+01      4.29e-02    2.87e-02      2.35e-01    1.99e-01    1.8e-04
  53000      1.70e+01    1.31e+01      4.05e-02    1.56e-01      1.70e-01    1.31e-01    1.8e-04
  54000      4.03e+01    8.60e+00      3.11e-02    1.44e-01      4.03e-01    8.60e-02    1.8e-04
  55000      2.31e+01    1.59e+01      1.91e-02    1.10e-01      2.31e-01    1.59e-01    1.5e-04
  56000      4.55e+01    1.15e+01      2.49e-02    3.90e-02      4.55e-01    1.15e-01    1.5e-04
  57000      1.90e+01    2.33e+01      2.59e-02    5.22e-02      1.90e-01    2.33e-01    1.5e-04
  58000      3.49e+01    2.35e+01      4.07e-02    3.41e-02      3.49e-01    2.35e-01    1.5e-04
  59000      9.43e+00    1.79e+01      2.64e-02    1.53e+00      9.43e-02    1.79e-01    1.5e-04
  60000      3.14e+01    1.16e+01      1.71e-02    1.81e-01      3.14e-01    1.16e-01    1.3e-04
  61000      3.95e+01    1.86e+01      8.74e-01    7.50e-02      3.95e-01    1.86e-01    1.3e-04
  62000      1.44e+01    1.55e+01      1.65e-02    2.39e-02      1.44e-01    1.55e-01    1.3e-04
  63000      2.28e+01    8.31e+00      9.09e-03    2.06e-03      2.28e-01    8.31e-02    1.3e-04
  64000      1.44e+01    1.61e+01      3.65e-02    2.45e-02      1.44e-01    1.61e-01    1.3e-04
  65000      8.27e+00    1.74e+01      4.70e-02    1.41e-02      8.27e-02    1.74e-01    1.1e-04
  66000      5.67e+01    1.58e+01      2.12e-01    2.07e-02      5.67e-01    1.58e-01    1.1e-04
  67000      1.22e+01    2.01e+01      4.15e-02    2.84e-02      1.22e-01    2.01e-01    1.1e-04
  68000      1.58e+01    2.13e+01      1.27e-02    1.21e-01      1.58e-01    2.13e-01    1.1e-04
  69000      1.73e+01    3.15e+01      2.85e-02    7.32e-02      1.73e-01    3.15e-01    1.1e-04
