# Time-averaged data for fix AVE_zz
# TimeStep c_stress_Au1[3] c_stress_Au2[3] c_stress_Au3[3] c_stress_Au4[3] c_stress_Au5[3] c_stress_Au6[3] c_stress_Au7[3] c_stress_Au8[3] c_stress_Au9[3] c_stress_Au10[3] c_stress_Au11[3] c_stress_Au12[3] c_stress_Au13[3] c_stress_Au14[3] c_stress_Au15[3] c_stress_Au16[3] c_stress_Au17[3] c_stress_Au18[3] c_stress_Au19[3] c_stress_Au20[3] c_stress_Au21[3] c_stress_Au22[3] c_stress_Au23[3] c_stress_Au24[3] c_stress_Au25[3] c_stress_Au26[3] c_stress_Au27[3] c_stress_Au28[3] c_stress_Au29[3] c_stress_Au30[3] c_stress_Au31[3] c_stress_Au32[3] c_stress_Au33[3] c_stress_Au34[3] c_stress_Au35[3] c_stress_Au36[3] c_stress_Au37[3] c_stress_Au38[3] c_stress_Au39[3] c_stress_Au40[3] c_stress_Au41[3] c_stress_Au42[3] c_stress_Au43[3] c_stress_Au44[3] c_stress_Au45[3] c_stress_Au46[3] c_stress_Au47[3] c_stress_Au48[3] c_stress_Au49[3] c_stress_Au50[3] c_stress_Au51[3]
1022000 -3681.68 -5896.97 -3951.99 -5346.42 -5792.72 -6483.63 -8442.16 -6658.29 -2706.46 -3415.24 -6315.43 -8617.05 -10424.5 -9940.28 -9153.03 -6421.84 -4811.77 -2596.25 147.966 4867.16 4875.38 5472.59 7817.07 8570.65 8678.95 8176.91 10264.4 11812.8 10760.6 10836.2 11071.8 10522.5 9372.87 10826.6 7046.77 903.879 -286.96 -1263.67 1103.29 -2429.58 -4567.55 -3902.79 -6365.55 -5893.36 -2283.27 -2209.64 -264.855 -1417.23 -3042.81 -5148.73 -5945.56
1024000 2103.48 8316.32 5772.92 2870.3 2707.53 4778.56 5652.66 6872.35 4785.95 4608.07 8757.86 11235.8 11676.1 11226.6 10846.4 12199.8 11368.8 10601.6 7188.85 5206.81 3443.04 3389.53 826.287 -2080.09 -1455.23 -1242.09 -1978.17 -4940.03 -4284.4 -3835.67 -6710.58 -9348.93 -12146.5 -16790.9 -18086.2 -15274.9 -7402.69 -6005.87 -6065.83 -5226.78 -5106.91 -4093.05 -2997.63 -2537.72 -5438.08 -8282.22 -6587.39 -4228.79 -741.106 2843.92 8007.95
1026000 -6766.18 -3376.55 -3647.42 1169.49 3450.35 2041.77 976.339 429.834 -706.937 -1658.95 -2479.1 -853.845 247.667 -1227.46 -3319.9 -4809.88 -7386.97 -8646.9 -6164.47 -7941.52 -7346.76 -9689.73 -9798.26 -7165.97 -7094.74 -7431.33 -9446.61 -8728.1 -7562.2 -5409.28 -5210.59 -1700 1425.45 6633.37 10729.2 10161.3 6703.72 4912.01 5979.82 8405.05 5921.87 6552.24 7078.37 9864.1 9185.2 7530.84 6980.02 4425.55 4922.44 4066.07 4329.63
1028000 -3462.39 -2248.69 -339.541 -3298.71 -5066.2 -4971.75 -7179.12 -5806.28 -3504.72 -4807.21 -6640.46 -8514.88 -12241.1 -10464.6 -7137.79 -5023.89 -1612.73 -1683.3 -3048.07 -471.297 2909 5756.78 8498.8 9028.62 8730.12 9732.74 11271.6 11517.5 10958.9 9929.6 12940.4 12140.4 11550.7 9779.33 5331.7 3154.48 2407.09 981.942 -1240.2 -2686.29 -2288.68 -2872.59 -6178.32 -7103.93 -2476.09 -89.0639 1208.79 -1624.48 -6154.53 -6259 -8730.67
1030000 1408.08 4754.64 3243.88 2313.02 1607.71 1172 3920.59 3680.75 4611.5 5063.64 6019.5 7226.05 10328.7 12972.8 12888.3 10315.9 8184.21 8421.12 9283.44 7156.42 4787.24 4394.83 1297.51 -795.436 -2151.13 -4663.4 -4048.08 -2039.59 -1082.43 -4921.1 -9161.48 -11398.4 -12930.4 -13332.9 -16360.4 -12244.4 -8798.18 -6693.01 -5017.71 -3776.77 -1758.07 -1593.7 -2334.87 -4158.44 -4501.45 -6574.71 -6595.69 -2244.3 1433.51 3673.6 10134.8
1032000 8204.54 -1903.17 -2947.25 961.485 1643.81 3987.16 3444.28 3921.74 -70.4089 -734.077 322.341 2278.18 1115.59 -3207.95 -3806.97 -5841.68 -6219.11 -6588.94 -4698.64 -5694.31 -8578.65 -10816.7 -10455.5 -7911.97 -5541.69 -6741.46 -7931.01 -10592.8 -9222.24 -5234.38 -2428.26 1058.54 1575.62 3240.61 7309.42 8882.59 5379.42 5931.43 6865.32 5409.71 4358.32 3527.97 5936.02 7902.94 6244.94 4508.55 4658.15 2948.49 3687.01 2418.33 -5029.03
1034000 -9536.3 -2055.88 -1378.94 -2303.34 -6273.38 -4538.09 -5001.01 -6234.66 -8468.91 -6882.9 -6714.94 -8850.81 -9392.61 -10608.8 -7401.73 -4290.76 -1238.86 -630.105 -3589.44 -1733.35 3370.33 7823.62 10540 11220.7 11611.2 10740.1 10826.2 10090.1 9623.3 9376.42 9914.98 9295.26 10145.4 9131.41 5858.13 3814.62 1786.55 -242.6 -1504.08 -2620.44 -2475.22 -1633.52 -3461.3 -3199.55 -664.218 666.194 1341.86 17.307 -3200.78 -8006.75 -2591.47
1036000 5517.56 4850.7 1947.43 1988.59 3269.41 2808.73 2621.99 5480.18 7230.49 6155.98 4631.83 5021.76 7600.11 11031.9 11509.1 9783.94 6748.76 8130.84 8558.51 7067.26 4252.55 2494.49 2111.1 -1607.96 -3612.38 -4319.95 -3598.25 -148.384 562.912 -3365.09 -8813.13 -10500.4 -13354.1 -11173.3 -11004.6 -9604.09 -9773.8 -7271.96 -5532.47 -1741.27 -354.863 -2794.59 -5138.65 -5148.73 -7417.9 -7967.09 -6469.79 -3492.41 -1095.37 2723.9 3786.22
1038000 4995.23 -1351.7 -2098.91 -676.188 1561.98 2762.6 2552.73 866.036 -1170.48 1309.51 1994.67 1436.67 842.856 -3547.18 -4969.76 -5937.3 -7793.06 -5165.84 -3595.29 -6043.73 -7303.23 -9251.76 -9187.92 -7316.22 -6272.68 -7878.07 -8518.78 -8294.1 -9192.55 -7412.81 -1533.58 2611.58 4560.87 3699.03 4095.5 8382.5 7160.89 4854.74 6493.25 6657.35 5543.61 8343.71 7190.21 5675.72 8446.62 8248.29 7431.16 4231.15 2418.99 3106.9 -1016.03
1040000 -11950.3 -75.1136 553.007 -3274.03 -5709.29 -4328.4 -5371.52 -5810.33 -6424.39 -8082.05 -7474.8 -8856.91 -8019.82 -6742.05 -5506.85 -4303.46 -1043.53 -2041.84 -3724.03 -3597.45 749.542 4725.98 7926.05 8346.4 8606.33 9679.96 8271.41 6144.68 8479.57 9940.57 9056.88 7494.85 6424.13 7919.27 6419.91 2532.81 5394.34 4932.35 -767.495 -3205.94 -3747.71 -3140.7 -3115.14 -1230.63 504.853 -1547.57 -2561.35 -1978.41 -2252.12 -5433.92 1232.18
