# Time-averaged data for fix AVE_yz
# TimeStep c_stress_Au1[6] c_stress_Au2[6] c_stress_Au3[6] c_stress_Au4[6] c_stress_Au5[6] c_stress_Au6[6] c_stress_Au7[6] c_stress_Au8[6] c_stress_Au9[6] c_stress_Au10[6] c_stress_Au11[6] c_stress_Au12[6] c_stress_Au13[6] c_stress_Au14[6] c_stress_Au15[6] c_stress_Au16[6] c_stress_Au17[6] c_stress_Au18[6] c_stress_Au19[6] c_stress_Au20[6] c_stress_Au21[6] c_stress_Au22[6] c_stress_Au23[6] c_stress_Au24[6] c_stress_Au25[6] c_stress_Au26[6] c_stress_Au27[6] c_stress_Au28[6] c_stress_Au29[6] c_stress_Au30[6] c_stress_Au31[6] c_stress_Au32[6] c_stress_Au33[6] c_stress_Au34[6] c_stress_Au35[6] c_stress_Au36[6] c_stress_Au37[6] c_stress_Au38[6] c_stress_Au39[6] c_stress_Au40[6] c_stress_Au41[6] c_stress_Au42[6] c_stress_Au43[6] c_stress_Au44[6] c_stress_Au45[6] c_stress_Au46[6] c_stress_Au47[6] c_stress_Au48[6] c_stress_Au49[6] c_stress_Au50[6] c_stress_Au51[6]
1022000 -6513.37 -3057.47 -1454.95 -599.853 -242.319 2112.85 5467.52 7816.41 8380.57 7495.18 3175.2 1182.05 -778.477 -2970.48 -7064.29 -10372 -9830.2 -6319.58 -3571.38 -2786.79 -475.946 2200.67 5459.72 9559.76 11085.2 9319.01 9311.9 11198.9 12737.9 11987.1 7119.84 2788.91 2747.5 1145 -1081.76 -1933.26 -3351.17 -5670.01 -3275.18 -596.979 -3098.44 -3522.27 -1587.88 -1598.64 -4063.9 -6079.13 -9036.67 -8870.36 -6885.46 -8024.23 -7979.93
1024000 -5878.66 -12674.8 -16141 -16350.1 -15135.4 -12268.8 -10935.5 -13330.8 -12791 -11259.3 -7586.76 -3093.59 -2049.37 551.872 4048.09 9013.81 11263 9960.44 8879.43 10504.6 13048.1 14190.9 14379.8 11714.2 8311.28 8307.07 5696.01 3997.49 3396.17 2664.85 2471.86 3834.65 2851.08 3208.04 3989.84 3642.16 5538.18 6335.42 4394.23 3043.48 3660.11 1302.19 -224.225 -714.842 -496.148 -1511.27 -3157.51 -6827.01 -12223.7 -13879.3 -16858.2
1026000 20860.8 11603.3 13215.7 14702.4 13610.6 10381.1 5306.97 4477.48 5527.51 4485.83 211.322 -3880.33 -5394.37 -4258.6 -4101.4 -4061.46 -4112.2 -5184.83 -5134.3 -6438.74 -9885.48 -13201.8 -11465.3 -8657.19 -9223.96 -8202.72 -5821.61 -4249.9 -3050.2 -1327.21 1717.07 4743.46 6755.38 8359.97 6559.83 2985.61 161.491 -1210.98 -2481.79 -5401.77 -7999.81 -7609.94 -6160.72 -4081.84 -2026.94 -1966.24 -1136.23 3665.24 9946.81 12551.3 5470.58
1028000 8249.54 6660.4 6383.18 4585.13 1706.83 -362.078 -1061.65 -286.298 -461.669 -581.896 2605.97 5860.89 7786.19 5914.48 4117.86 4795.08 4205.23 4014.46 4061.35 3663.68 2225.16 -376.153 -6813.47 -12766 -14826.4 -14883.2 -14557.7 -15925.9 -17044 -14479.3 -10579.4 -8917.67 -9036.9 -12212 -10516.7 -3974.95 -1691.89 -1449.98 586.386 3167.4 4508.03 6388.28 7280.91 6310.26 7317.25 12697 16429.1 14905.4 12290.8 9662.89 8572.33
1030000 -11388.3 -7167.59 -7178.75 -5811.72 -2396.2 -851.668 2421.51 5896.54 5507.62 2996.59 2340.15 -528.57 -2395.53 -1485.51 -2568.32 -5607.13 -6544.81 -4858.95 -2471.41 -1928.96 -2467.41 -269.838 3195.93 9882.22 14768.8 13828.6 11918.2 14853.1 15479.3 13970.5 10295.3 6254.1 5975.28 8445.18 8623.24 2309.44 -3628.48 -2926.16 -2710.54 -5011.67 -4423.55 -5545.71 -8338.74 -6246.7 -8641.87 -13019.5 -13032.9 -10531.4 -9576 -9160.65 -4749.15
1032000 -12440 -12293.9 -12755.8 -15544.1 -13998.3 -8520.41 -7868.85 -9664.21 -9445.25 -8412.93 -5243.15 -1890.41 -48.3526 -1078.4 -1095.56 3202.47 5227.68 4194.49 3960.58 7148.41 9731.29 12562.5 14991.4 13330.3 9277.39 10758.7 11068.7 5860.9 2116.4 661.51 -1966.93 -3602.54 -2557.23 -4635.85 -3995.42 734.371 5457.6 5282.46 4798.42 5091.7 5303.93 6165.18 7571.1 5542.75 3292.33 4379.05 53.8334 -7908.51 -10788.4 -11618 -14739
1034000 14345.4 12219.6 12045.9 16137.9 14199.9 9678.12 9902.72 10812 11516.2 10660.4 5856.07 721.77 -1780.7 -1747.97 -3150.27 -6803.1 -10429.8 -10061.5 -10813.2 -12949.3 -12222.2 -11764.1 -12382.8 -10897.1 -8029.78 -9387.19 -10603 -7471.1 -5129.45 -4826.26 -689.877 738.529 57.887 1749.65 2813.42 -1085.1 -2127.19 173.254 937.739 31.7445 -1908.53 -3496.07 -4947.14 -1313.72 2858.66 548.506 -1541.95 4662.53 9488.46 12006.6 14154
1036000 6658.21 9595.79 6665.55 1983.67 -1544.24 -2075.72 -1356.34 -2321.61 -4827.24 -4920.91 -1061.1 3315.06 5023.98 5396.09 5297.89 5784.77 7692.67 8664.25 5869.99 4657.35 5316.89 2099.23 -2139.37 -6124.54 -10415.7 -10188.3 -9937.78 -12736.8 -12587.7 -10735 -9347.79 -6837.69 -5338.37 -7327.11 -8343.04 -3878.91 -167.054 -1145.81 -2160.23 -1445.96 -774.476 2014.27 3815.56 422.032 1341.44 7394.02 11690.3 12577.3 10436.9 9201.41 10705
1038000 -14893.3 -10671.4 -9933.95 -7044.16 -3970.59 -3606.52 -4987.71 -5304.86 -2563.81 -1644.58 -1933.11 -1020.67 -1194.06 -230.156 1108.75 1073.61 -1196.36 -996.02 3057.63 4927.56 1360.19 -589.483 1683.52 6440.15 10974.9 13674.7 11472.2 12657.7 16023.3 14897.5 11629.4 9949.41 11585.6 14987.4 14456.9 8175.43 3375.96 1553.05 -2291.6 -5163.19 -6281.98 -10736.3 -11742.8 -9532.46 -9404.67 -11475 -12248.2 -11145.3 -10706.2 -8209.51 -1432.75
1040000 -735.705 -8399.95 -8039.14 -8837.21 -6771.48 -6370.37 -4651.72 -2837.12 -4608.79 -6962.13 -5295.28 -2219.2 -1246.39 -1245.96 -2215.23 -788.955 1284.6 1424.08 119.195 168.685 4375.66 9166.46 9587.43 7535.42 4042.79 4407.99 7747.36 5851.59 -1268.48 -3349.32 -2025.39 -2824.62 -3390.46 -6052.36 -6789.67 -3409.56 509.882 3800.76 5026.48 5685.99 7265.19 8005.61 7045.23 4802.16 4500.65 3959.52 3205.1 2334.89 -1220.15 -6273.49 -17805.1
