#  step      rmse_val    rmse_trn    rmse_e_val  rmse_e_trn    rmse_f_val  rmse_f_trn         lr
  59000      4.25e+01    2.30e+01      1.61e-02    1.63e-02      4.25e-01    2.30e-01    1.5e-04
  60000      2.91e+01    2.96e+01      4.48e-02    4.09e-02      2.91e-01    2.96e-01    1.3e-04
  61000      2.09e+01    2.16e+01      1.80e-02    1.35e-01      2.09e-01    2.16e-01    1.3e-04
  62000      2.37e+01    3.56e+01      4.57e-02    1.29e-01      2.37e-01    3.56e-01    1.3e-04
  63000      2.92e+01    1.88e+01      7.48e-03    7.22e-02      2.92e-01    1.88e-01    1.3e-04
  64000      1.58e+01    1.96e+01      7.27e-02    7.31e-02      1.58e-01    1.96e-01    1.3e-04
  65000      5.06e+01    1.57e+01      6.36e-02    7.04e-02      5.06e-01    1.57e-01    1.1e-04
  66000      4.59e+01    5.96e+00      5.56e-03    9.57e-02      4.59e-01    5.96e-02    1.1e-04
  67000      3.39e+01    2.07e+01      2.17e-04    1.19e-01      3.39e-01    2.07e-01    1.1e-04
  68000      2.35e+01    1.71e+01      1.09e-01    3.41e-02      2.35e-01    1.71e-01    1.1e-04
  69000      1.53e+01    3.98e+01      1.86e-02    1.03e-01      1.53e-01    3.98e-01    1.1e-04
  70000      2.71e+01    3.89e+01      3.68e-02    2.32e-02      2.71e-01    3.89e-01    9.1e-05
  71000      1.40e+01    7.23e+00      4.06e-02    4.70e-05      1.40e-01    7.23e-02    9.1e-05
  72000      2.93e+01    2.31e+01      2.41e-02    2.21e-02      2.93e-01    2.31e-01    9.1e-05
  73000      3.46e+01    1.61e+01      1.71e-02    4.25e-02      3.46e-01    1.61e-01    9.1e-05
  74000      2.11e+01    2.77e+01      3.75e-02    4.99e-02      2.11e-01    2.77e-01    9.1e-05
  75000      1.49e+01    3.27e+01      1.77e-02    1.93e-02      1.49e-01    3.27e-01    7.7e-05
  76000      3.49e+01    1.14e+01      1.67e-02    4.98e-02      3.49e-01    1.14e-01    7.7e-05
  77000      1.05e+01    2.22e+01      3.86e-02    2.74e-02      1.05e-01    2.22e-01    7.7e-05
  78000      1.36e+01    1.80e+01      2.97e-01    1.48e-02      1.36e-01    1.80e-01    7.7e-05
  79000      2.58e+01    2.57e+01      1.85e-01    2.26e-01      2.58e-01    2.57e-01    7.7e-05
  80000      5.65e+00    1.74e+01      1.88e-01    5.85e-02      5.65e-02    1.74e-01    6.5e-05
  81000      1.47e+01    3.89e+01      1.38e-01    4.00e-02      1.47e-01    3.89e-01    6.5e-05
  82000      1.43e+01    1.56e+01      3.08e-02    1.36e-01      1.43e-01    1.56e-01    6.5e-05
  83000      1.56e+01    3.15e+01      1.46e-02    5.75e-02      1.56e-01    3.15e-01    6.5e-05
  84000      1.32e+01    8.34e+00      5.83e-02    1.48e-01      1.32e-01    8.34e-02    6.5e-05
  85000      1.64e+01    1.79e+01      1.38e-01    1.95e-02      1.64e-01    1.79e-01    5.5e-05
  86000      2.53e+01    2.01e+01      1.35e-01    5.99e-02      2.53e-01    2.01e-01    5.5e-05
  87000      2.92e+01    2.77e+01      2.91e-02    4.37e-02      2.92e-01    2.77e-01    5.5e-05
  88000      3.01e+01    2.81e+01      6.03e-02    1.37e-01      3.01e-01    2.81e-01    5.5e-05
  89000      2.37e+01    4.03e+01      4.58e-02    1.03e-02      2.37e-01    4.03e-01    5.5e-05
  90000      6.31e+00    1.68e+01      8.92e-03    4.76e-02      6.31e-02    1.68e-01    4.6e-05
  91000      3.55e+01    2.86e+01      1.10e-01    5.36e-02      3.55e-01    2.86e-01    4.6e-05
