#  step      rmse_val    rmse_trn    rmse_e_val  rmse_e_trn    rmse_f_val  rmse_f_trn         lr
  59000      3.06e+01    5.60e+00      7.43e-03    2.73e-02      3.06e-01    5.60e-02    1.5e-04
  60000      8.80e+00    6.02e+00      8.80e-02    3.08e-02      8.80e-02    6.02e-02    1.3e-04
  61000      1.48e+01    4.56e+01      3.22e-02    4.93e-03      1.48e-01    4.56e-01    1.3e-04
  62000      6.65e+00    2.75e+01      1.25e-02    2.89e-02      6.65e-02    2.75e-01    1.3e-04
  63000      3.16e+01    1.31e+01      2.05e-02    1.10e-02      3.16e-01    1.31e-01    1.3e-04
  64000      3.82e+01    3.35e+01      7.27e-03    4.07e-02      3.82e-01    3.35e-01    1.3e-04
  65000      2.11e+01    9.33e+00      4.44e-02    1.47e-02      2.11e-01    9.33e-02    1.1e-04
  66000      2.39e+01    5.06e+01      7.90e-03    1.77e-02      2.39e-01    5.06e-01    1.1e-04
  67000      6.71e+00    1.25e+01      1.30e-03    5.47e-02      6.71e-02    1.25e-01    1.1e-04
  68000      2.39e+01    7.67e+00      1.96e-02    3.35e-02      2.39e-01    7.67e-02    1.1e-04
  69000      2.15e+01    9.74e+00      5.50e-02    3.23e-02      2.15e-01    9.74e-02    1.1e-04
  70000      6.21e+00    2.70e+01      7.90e-03    2.76e-02      6.21e-02    2.70e-01    9.1e-05
  71000      1.20e+01    2.61e+01      3.07e-02    3.08e-02      1.20e-01    2.61e-01    9.1e-05
  72000      1.41e+01    2.00e+01      3.43e-02    2.88e-02      1.41e-01    2.00e-01    9.1e-05
  73000      1.12e+01    2.07e+01      6.10e-02    4.84e-02      1.12e-01    2.07e-01    9.1e-05
  74000      1.42e+01    1.36e+01      4.49e-02    3.26e-02      1.42e-01    1.36e-01    9.1e-05
  75000      6.38e+00    3.76e+01      4.65e-02    1.74e-02      6.38e-02    3.76e-01    7.7e-05
  76000      1.58e+01    2.38e+01      4.58e-03    1.80e-02      1.58e-01    2.38e-01    7.7e-05
  77000      2.77e+01    2.33e+01      2.25e-02    1.50e-02      2.77e-01    2.33e-01    7.7e-05
  78000      1.99e+01    7.37e+00      1.26e-02    7.09e-02      1.99e-01    7.37e-02    7.7e-05
  79000      1.40e+01    2.66e+01      3.17e-02    8.14e-02      1.40e-01    2.66e-01    7.7e-05
  80000      5.62e+00    8.18e+00      1.67e-02    4.26e-02      5.62e-02    8.18e-02    6.5e-05
  81000      1.20e+01    1.40e+01      2.39e-02    8.28e-03      1.20e-01    1.40e-01    6.5e-05
  82000      1.72e+01    8.94e+00      1.65e-02    3.74e-02      1.72e-01    8.94e-02    6.5e-05
  83000      2.16e+01    1.97e+01      3.04e-03    2.20e-02      2.16e-01    1.97e-01    6.5e-05
  84000      1.93e+01    3.21e+01      2.41e-02    6.65e-02      1.93e-01    3.21e-01    6.5e-05
  85000      1.52e+01    4.62e+01      1.98e-02    2.55e-03      1.52e-01    4.62e-01    5.5e-05
  86000      1.14e+01    1.35e+01      1.30e-02    1.77e-03      1.14e-01    1.35e-01    5.5e-05
  87000      1.29e+01    2.91e+01      2.44e-02    8.62e-03      1.29e-01    2.91e-01    5.5e-05
  88000      8.52e+00    2.04e+01      4.08e-02    1.41e-02      8.52e-02    2.04e-01    5.5e-05
  89000      1.73e+01    4.40e+01      3.48e-02    1.08e-02      1.73e-01    4.40e-01    5.5e-05
  90000      1.93e+01    2.72e+01      3.08e-02    1.66e-03      1.93e-01    2.72e-01    4.6e-05
  91000      1.53e+01    7.34e+00      3.23e-03    2.43e-02      1.53e-01    7.34e-02    4.6e-05
  92000      4.63e+01    9.76e+00      3.29e-02    2.48e-02      4.63e-01    9.76e-02    4.6e-05
  93000      1.89e+01    7.31e+00      2.93e-03    3.76e-02      1.89e-01    7.31e-02    4.6e-05
  94000      1.50e+01    6.91e+00      1.02e-02    6.09e-02      1.50e-01    6.91e-02    4.6e-05
  95000      2.38e+01    1.38e+01      2.84e-02    3.31e-02      2.38e-01    1.38e-01    3.9e-05
  96000      2.93e+01    1.24e+01      1.45e-03    5.35e-03      2.93e-01    1.24e-01    3.9e-05
  97000      4.20e+00    2.42e+01      3.23e-02    2.28e-02      4.20e-02    2.42e-01    3.9e-05
  98000      1.88e+01    1.01e+01      4.70e-03    3.99e-02      1.88e-01    1.01e-01    3.9e-05
  99000      1.87e+01    1.86e+01      1.68e-02    3.97e-03      1.87e-01    1.86e-01    3.9e-05
 100000      1.11e+01    2.77e+01      3.93e-02    1.29e-02      1.11e-01    2.77e-01    3.3e-05
 101000      1.59e+01    1.82e+01      1.02e-02    4.02e-04      1.59e-01    1.82e-01    3.3e-05
 102000      1.87e+01    1.41e+01      1.37e-02    6.55e-03      1.87e-01    1.41e-01    3.3e-05
 103000      3.26e+01    1.56e+01      5.19e-03    2.77e-02      3.26e-01    1.56e-01    3.3e-05
 104000      1.78e+01    8.80e+00      2.87e-02    2.30e-02      1.78e-01    8.80e-02    3.3e-05
 105000      9.36e+00    2.40e+01      6.86e-03    4.70e-02      9.36e-02    2.40e-01    2.8e-05
 106000      1.81e+01    3.15e+01      1.89e-02    3.26e-02      1.81e-01    3.15e-01    2.8e-05
 107000      2.04e+01    1.40e+01      1.63e-02    2.80e-04      2.04e-01    1.40e-01    2.8e-05
 108000      2.58e+01    1.30e+01      1.95e-02    3.36e-02      2.58e-01    1.30e-01    2.8e-05
 109000      1.44e+01    3.12e+01      7.25e-03    1.18e-02      1.44e-01    3.12e-01    2.8e-05
 110000      1.23e+01    2.31e+01      8.13e-03    2.12e-02      1.23e-01    2.31e-01    2.3e-05
 111000      5.07e+00    1.96e+01      4.79e-02    1.05e-02      5.07e-02    1.96e-01    2.3e-05
 112000      9.59e+00    4.01e+01      7.15e-03    3.58e-02      9.59e-02    4.01e-01    2.3e-05
 113000      3.55e+01    9.14e+00      1.31e-02    4.20e-03      3.55e-01    9.14e-02    2.3e-05
 114000      1.53e+01    2.20e+01      2.92e-02    2.25e-02      1.53e-01    2.20e-01    2.3e-05
 115000      1.28e+01    2.46e+01      2.37e-03    7.44e-03      1.28e-01    2.46e-01    2.0e-05
 116000      9.04e+00    2.19e+01      1.64e-02    2.71e-02      9.04e-02    2.19e-01    2.0e-05
 117000      2.25e+01    1.95e+01      2.01e-01    3.14e-02      2.25e-01    1.95e-01    2.0e-05
 118000      1.89e+01    1.41e+01      1.96e-02    3.97e-02      1.89e-01    1.41e-01    2.0e-05
 119000      9.43e+00    3.70e+01      3.29e-02    1.61e-02      9.43e-02    3.70e-01    2.0e-05
 120000      2.48e+01    2.70e+01      1.40e-03    1.28e-02      2.48e-01    2.70e-01    1.7e-05
 121000      3.18e+01    9.10e+00      2.64e-02    4.38e-04      3.18e-01    9.10e-02    1.7e-05
 122000      1.54e+01    1.72e+01      3.57e-02    1.97e-03      1.54e-01    1.72e-01    1.7e-05
 123000      3.68e+01    3.04e+01      3.31e-03    7.46e-02      3.68e-01    3.04e-01    1.7e-05
 124000      2.56e+01    3.47e+01      1.52e-02    4.09e-03      2.56e-01    3.47e-01    1.7e-05
 125000      5.58e+00    1.63e+01      3.34e-02    8.04e-03      5.58e-02    1.63e-01    1.4e-05
 126000      9.91e+00    1.90e+01      4.10e-02    1.50e-03      9.91e-02    1.90e-01    1.4e-05
 127000      6.53e+00    1.20e+01      2.84e-02    1.96e-02      6.53e-02    1.20e-01    1.4e-05
 128000      1.88e+01    8.58e+00      3.65e-02    1.11e-02      1.88e-01    8.58e-02    1.4e-05
 129000      2.51e+01    1.22e+01      1.49e-02    1.11e-02      2.51e-01    1.22e-01    1.4e-05
 130000      3.05e+01    2.29e+01      3.40e-02    1.40e-03      3.05e-01    2.29e-01    1.2e-05
 131000      2.28e+01    1.87e+01      1.55e-02    3.66e-03      2.28e-01    1.87e-01    1.2e-05
 132000      2.63e+01    2.37e+01      2.47e-02    6.54e-03      2.63e-01    2.37e-01    1.2e-05
 133000      8.71e+00    1.59e+01      2.41e-02    2.19e-02      8.71e-02    1.59e-01    1.2e-05
 134000      1.84e+01    7.08e+00      9.60e-04    3.97e-03      1.84e-01    7.08e-02    1.2e-05
 135000      2.15e+01    1.21e+01      1.10e-01    7.04e-04      2.15e-01    1.21e-01    9.9e-06
 136000      1.56e+01    2.22e+01      1.15e-02    2.01e-03      1.56e-01    2.22e-01    9.9e-06
 137000      1.30e+01    1.17e+01      1.05e-02    1.74e-02      1.30e-01    1.17e-01    9.9e-06
 138000      1.43e+01    1.87e+01      1.35e-02    5.18e-04      1.43e-01    1.87e-01    9.9e-06
 139000      1.75e+01    7.42e+00      2.56e-02    3.08e-02      1.75e-01    7.42e-02    9.9e-06
 140000      9.81e+00    3.22e+01      1.39e-02    2.04e-02      9.81e-02    3.22e-01    8.3e-06
 141000      9.62e+00    1.34e+01      2.63e-02    3.78e-03      9.62e-02    1.34e-01    8.3e-06
